id,url,secteur,canton,ville,date_audit,blog_present,nb_articles_blog,dernier_article_date,mois_depuis_dernier_article,derniere_modif_sitemap,copyright_annee,wayback_last_snapshot_diff_date,lighthouse_perf_mobile,lighthouse_seo,lighthouse_accessibility,https,mobile_responsive,title_present,meta_description_present,h1_unique,schema_org_present,schema_types,nb_pages_indexees,gmb_present,gmb_nb_avis,gmb_note_moyenne,gmb_dernier_post_date,gmb_reponses_avis_pct,gmb_horaires_visibles,gmb_telephone_visible,cta_homepage_present,formulaire_contact_present,tel_cliquable_mobile,preuves_sociales_presentes,page_about_present,auteur_nomme,photo_auteur_presente,mentions_legales_presentes,certifications_visibles,liens_rs_presents,rs_actifs,archetype,score_activite,notes
A01,https://www.carletti-sanitaire.ch,artisan-plombier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,50+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,oui,N/A,non,non,N/A,inconnu,vitrine-fossile,8,"Stratégie SEO local visible (50+ pages de communes). Site riche en volume mais aucun contenu éditorial. Fondé 1981 – Giovanni Carletti nommé dans les meta."
A02,https://expresseau.com,artisan-plombier,GE,Genève,2026-04-15,oui,5,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,30+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,oui,N/A,non,non,N/A,inconnu,blog-abandonne,9,"Section /actualites présente avec ~5 articles visibles. Dates non lisibles. Yannick Debeugny nommé. Seul artisan du panel avec un vrai blog."
A03,https://www.elpintor.ch,artisan-peintre,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,oui,non,N/A,inconnu,vitrine-fossile,7,"Site vitrine propre. Page /historique-et-engagements (à propos). Page /mentions-legales présente. Artisan depuis 2008 – sans blog."
A04,https://www.serrurerieklein.ch,artisan-serrurier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,non,non,N/A,inconnu,vitrine-fossile,6,"Site vitrine sur Wix (à confirmer). Pages services bien découpées. Pas de blog, pas d'auteur nommé. Entreprise familiale ~5 employés."
A05,https://www.cipriano-electricite-geneve.ch,artisan-electricien,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,oui,oui,non,non,non,N/A,non,non,N/A,inconnu,vitrine-fossile,5,"Seulement 4 pages indexées. Contenu axé urgences 24/24. Pas de blog. Présence solaire + VE mentionnée = contenu moderne mais statique."
A06,https://www.dubi-menuiserie.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,oui,N/A,oui,non,N/A,inconnu,vitrine-fossile,6,"Seulement 3 pages : home + /mentions-legales + /nous-contacter. Équipe nommée (Pascal Borgeaud, Florian Crot). Fondé 1952. Site minimal mais propre."
A07,https://www.suarato.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,non,non,N/A,inconnu,vitrine-fossile,8,"~9 pages structurées (portes/fenêtres/rénovation). Page /menuiserie = présentation. Résultat étrange avec une page de chaussures indexée – possible piratage SEO ou ancien domaine."
A08,https://www.vonguntenfreres.ch,artisan-menuisier-charpentier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,non,non,N/A,oui,non,N/A,inconnu,vitrine-fossile,7,"5 pages propres. Mentionne mentions légales (/mentions-legales). Fondé 1999 – 2 frères. Pas de blog. Site classique artisan."
A09,https://www.menuiserierenovation.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,non,oui,N/A,non,non,N/A,inconnu,vitrine-fossile,3,"Une seule page indexée. Site quasi invisible. Guy Raffalli nommé. Site créé mais sans contenu ni structure. Archétype fossile maximal."
A10,https://www.bateg.swiss,artisan-peintre-platrerie,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,non,non,N/A,inconnu,vitrine-fossile,4,"Seulement 2 pages (home + /entreprise). Domaine .swiss – original. Pas de blog, pas d'auteur nommé. Site ultra-minimal."
A11,https://osteopathe-lausanne.ch,sante-osteopathe,VD,Lausanne,2026-04-15,oui,10,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,N/A,oui,N/A,N/A,non,N/A,inconnu,vivant,15,"Site bilingue FR/EN. ~10 articles de santé visibles (lower back pain, knee pain, migraines). Boris Hueber nommé. Le plus structuré des ostéopathes du panel."
A12,https://osteopathelausannemichaud.ch,sante-osteopathe,VD,Lausanne,2026-04-15,oui,8,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,N/A,oui,N/A,N/A,oui,N/A,inconnu,vivant,14,"Pascal Michaud C.D.S. nommé. Articles catégorisés (/cat/sportif). Sophrologie intégrée. Certifié C.D.S. Contenu diversifié et structuré."
A13,https://alphysio.ch,sante-physiotherapeute,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,non,N/A,inconnu,vitrine-fossile,9,"Dominique Lemort nommé (/qui-suis-je). ~7 pages services. Pas de blog. Site propre et spécialisé (ondes de choc, drainage)."
A14,https://www.physiorivedroite.ch,sante-physiotherapeute,GE,Genève,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,non,N/A,oui,non,N/A,inconnu,vitrine-fossile,10,"Trilingue (FR/EN/EN-GB). Impressum (/imprint). Pages équipe et cabinet. ~9 pages bien structurées. Pas de contenu éditorial."
A15,https://psy-neuchatel.ch,sante-psychologue,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,N/A,oui,N/A,N/A,non,N/A,inconnu,squelette-mobile-casse,3,"Une seule page indexée. Gaëtane Donzé nommée. Pratiquement invisible sur Google. Site landing page unique."
A16,https://www.lo-psychotherapie.ch,sante-psychologue,NE,Neuchâtel,2026-04-15,non,0,never,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,~2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,N/A,non,oui,oui,N/A,N/A,oui,N/A,inconnu,vitrine-fossile,6,"2 pages. Leitja Oechslin – titre fédéral FSP. Page /leitja-oechslin bien détaillée. Pratiques innovantes (zoothérapie, séances en plein air). Invisible en SEO."
A17,https://nutritionniste-geneve.ch,sante-nutritionniste,GE,Genève,2026-04-15,oui,10,undated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,N/A,N/A,N/A,none,10+,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,N/A,non,oui,oui,N/A,N/A,oui,N/A,inconnu,vivant,15,"Céline Gianfrancesco – ASCA. ~10 recettes indexées + pages services. Page /prendre-rdv dédiée. Le site de santé le plus actif côté GE."
