id,url,secteur,canton,ville,date_audit,blog_present,nb_articles_blog,dernier_article_date,mois_depuis_dernier_article,derniere_modif_sitemap,copyright_annee,wayback_last_snapshot_diff_date,lighthouse_perf_mobile,lighthouse_seo,lighthouse_accessibility,https,mobile_responsive,title_present,meta_description_present,h1_unique,schema_org_present,schema_types,nb_pages_indexees,gmb_present,gmb_nb_avis,gmb_note_moyenne,gmb_dernier_post_date,gmb_reponses_avis_pct,gmb_horaires_visibles,gmb_telephone_visible,cta_homepage_present,formulaire_contact_present,tel_cliquable_mobile,preuves_sociales_presentes,page_about_present,auteur_nomme,photo_auteur_presente,mentions_legales_presentes,certifications_visibles,liens_rs_presents,rs_actifs,archetype,score_activite,notes
A01,https://www.carletti-sanitaire.ch,artisan-plombier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,94,82,78,oui,N/A,oui,non,oui,non,none,50+,oui,27,4.3,N/A,N/A,oui,N/A,oui,N/A,non,non,non,oui,N/A,non,non,non,aucun,vitrine-fossile,8,Stratégie SEO local visible (50+ pages de communes). Site riche en volume mais aucun contenu éditorial. Fondé 1981 – Giovanni Carletti nommé dans les meta.
A02,https://expresseau.com,artisan-plombier,GE,Genève,2026-04-15,oui,5,undated,N/A,N/A,absent,N/A,53,92,74,oui,N/A,oui,oui,oui,oui,"WebPage, ImageObject, BreadcrumbList, WebSite, Organization",30+,oui,196,4.9,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,oui,N/A,non,non,oui,facebook,blog-abandonne,9,Section /actualites présente avec ~5 articles visibles. Dates non lisibles. Yannick Debeugny nommé. Seul artisan du panel avec un vrai blog.
A03,https://www.elpintor.ch,artisan-peintre,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,76,100,89,oui,N/A,oui,oui,oui,oui,WebSite,~5,oui,6,4.3,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,oui,non,oui,facebook,vitrine-fossile,7,Site vitrine propre. Page /historique-et-engagements (à propos). Page /mentions-legales présente. Artisan depuis 2008 – sans blog.
A04,https://www.serrurerieklein.ch,artisan-serrurier,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,90,100,95,oui,N/A,oui,oui,oui,oui,WebSite,~8,oui,14,4.7,N/A,N/A,oui,N/A,oui,N/A,non,non,non,non,N/A,non,non,oui,"facebook, linkedin",vitrine-fossile,6,"Site vitrine sur Wix (à confirmer). Pages services bien découpées. Pas de blog, pas d'auteur nommé. Entreprise familiale ~5 employés."
A05,https://www.cipriano-electricite-geneve.ch,artisan-electricien,GE,Genève,2026-04-15,non,0,never,N/A,N/A,2026,N/A,75,100,88,oui,N/A,oui,oui,non,oui,"WebSite, Electrician",~4,oui,16,4.3,N/A,N/A,oui,N/A,oui,oui,oui,non,non,non,N/A,non,non,oui,"instagram, facebook, linkedin",vitrine-fossile,5,Seulement 4 pages indexées. Contenu axé urgences 24/24. Pas de blog. Présence solaire + VE mentionnée = contenu moderne mais statique.
A06,https://www.dubi-menuiserie.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,76,100,94,oui,N/A,oui,oui,oui,oui,WebSite,~3,oui,5,2.2,N/A,N/A,non,N/A,oui,N/A,oui,non,non,oui,N/A,oui,non,non,aucun,vitrine-fossile,6,"Seulement 3 pages : home + /mentions-legales + /nous-contacter. Équipe nommée (Pascal Borgeaud, Florian Crot). Fondé 1952. Site minimal mais propre."
A07,https://www.suarato.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,58,100,91,oui,N/A,oui,oui,oui,oui,"WebPage, BreadcrumbList, WebSite",~9,oui,17,3.8,N/A,N/A,oui,N/A,oui,N/A,oui,non,oui,non,N/A,non,non,oui,"instagram, facebook",vitrine-fossile,8,~9 pages structurées (portes/fenêtres/rénovation). Page /menuiserie = présentation. Résultat étrange avec une page de chaussures indexée – possible piratage SEO ou ancien domaine.
A08,https://www.vonguntenfreres.ch,artisan-menuisier-charpentier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,absent,N/A,45,92,88,oui,N/A,oui,oui,oui,non,none,~5,oui,8,4.5,N/A,N/A,oui,N/A,oui,N/A,oui,non,non,non,N/A,oui,non,oui,"instagram, facebook, linkedin",vitrine-fossile,7,5 pages propres. Mentionne mentions légales (/mentions-legales). Fondé 1999 – 2 frères. Pas de blog. Site classique artisan.
A09,https://www.menuiserierenovation.ch,artisan-menuisier,VD,Lausanne,2026-04-15,non,0,never,N/A,N/A,2020,N/A,75,100,95,oui,N/A,oui,oui,oui,oui,WebSite,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,non,N/A,non,non,non,oui,N/A,non,non,non,aucun,vitrine-fossile,3,Une seule page indexée. Site quasi invisible. Guy Raffalli nommé. Site créé mais sans contenu ni structure. Archétype fossile maximal.
A10,https://www.bateg.swiss,artisan-peintre-platrerie,GE,Genève,2026-04-15,non,0,never,N/A,N/A,absent,N/A,63,92,91,oui,N/A,oui,non,oui,oui,"WebPage, WPHeader, Organization, SiteNavigationElement, CreativeWork",~2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,oui,N/A,oui,non,oui,non,N/A,non,non,non,aucun,vitrine-fossile,4,"Seulement 2 pages (home + /entreprise). Domaine .swiss – original. Pas de blog, pas d'auteur nommé. Site ultra-minimal."
